dataset+metrics,AEL,Drain,IPLoM,LenMa,LFA,LogCluster,LogMine,Logram,LogSig,MoLFI,SHISO,SLCT,Spell,UniParser,LogPPT
Apache FGA,1.000 / 1.000,1.000 / 1.000,1.000 / 0.900,1.000 / 0.900,1.000 / 0.873,0.103 / 0.003,1.000 / 1.000,0.364 / 0.230,0.769 / 0.054,1.000 / 0.825,1.000 / 0.781,0.625 / 0.227,1.000 / 1.000,1.000 / 0.256,0.667 / 0.484
Apache PA,0.694 / 0.727,0.694 / 0.727,0.694 / 0.250,0.000 / 0.031,0.688 / 0.637,0.000 / 0.031,0.694 / 0.262,0.006 / 0.055,0.000 / 0.026,0.000 / 0.026,0.000 / 0.031,0.424 / 0.175,0.694 / 0.250,0.694 / 0.456,0.992 / 0.952
Apache FTA,0.500 / 0.517,0.500 / 0.517,0.500 / 0.167,0.000 / 0.267,0.333 / 0.255,0.000 / 0.001,0.500 / 0.414,0.182 / 0.115,0.000 / 0.000,0.000 / 0.032,0.000 / 0.250,0.250 / 0.136,0.500 / 0.172,0.500 / 0.093,0.667 / 0.352
OpenSSH GA,0.536 / 0.705,0.789 / 0.707,0.541 / 0.413,0.926 / 0.748,0.500 / 0.155,0.424 / 0.216,0.429 / ------,0.611 / 0.219,0.442 / 0.465,0.541 / 0.448,0.621 / 0.395,0.521 / 0.278,0.555 / 0.616,0.789 / 0.495,0.436 / 0.278
OpenSSH FGA,0.516 / 0.689,0.880 / 0.872,0.720 / 0.714,0.880 / 0.800,0.667 / 0.506,0.118 / 0.006,0.054 / ------,0.769 / 0.155,0.545 / 0.427,0.706 / 0.682,0.655 / 0.611,0.400 / 0.140,0.679 / 0.426,0.880 / 0.017,0.560 / 0.115
OpenSSH PA,0.245 / 0.364,0.508 / 0.586,0.000 / 0.000,0.133 / 0.142,0.164 / 0.054,0.068 / 0.033,0.068 / ------,0.298 / 0.180,0.068 / 0.033,0.000 / 0.000,0.133 / 0.142,0.298 / 0.171,0.191 / 0.193,0.466 / 0.474,0.975 / 0.713
OpenSSH FTA,0.226 / 0.333,0.440 / 0.487,0.000 / 0.024,0.200 / 0.200,0.175 / 0.152,0.016 / 0.003,0.006 / ------,0.231 / 0.088,0.073 / 0.053,0.000 / 0.000,0.182 / 0.168,0.267 / 0.102,0.226 / 0.098,0.400 / 0.011,0.640 / 0.147
HealthApp GA,0.568 / 0.725,0.780 / 0.862,0.822 / 0.977,0.174 / ------,0.548 / 0.804,0.530 / 0.731,0.686 / ------,0.267 / 0.225,0.092 / 0.000,0.457 / 0.552,0.397 / 0.084,0.331 / 0.110,0.639 / 0.652,0.780 / 0.447,1.000 / 0.839
HealthApp FGA,0.306 / 0.008,0.351 / 0.010,0.463 / 0.880,0.114 / ------,0.244 / 0.008,0.154 / 0.006,0.245 / ------,0.104 / 0.003,0.056 / 0.000,0.737 / 0.024,0.632 / 0.396,0.092 / 0.213,0.367 / 0.014,0.351 / 0.536,1.000 / 0.863
HealthApp PA,0.163 / 0.311,0.231 / 0.312,0.149 / 0.163,0.129 / ------,0.148 / 0.306,0.131 / 0.023,0.218 / ------,0.112 / 0.156,0.121 / 0.011,0.027 / 0.023,0.040 / 0.015,0.323 / 0.288,0.152 / 0.162,0.601 / 0.814,0.668 / 0.987
HealthApp FTA,0.104 / 0.003,0.109 / 0.004,0.100 / 0.253,0.040 / ------,0.069 / 0.003,0.062 / 0.002,0.090 / ------,0.042 / 0.001,0.042 / 0.000,0.188 / 0.007,0.195 / 0.081,0.069 / 0.073,0.097 / 0.005,0.109 / 0.303,0.880 / 0.787
Proxifier GA,0.495 / 0.974,0.526 / 0.692,0.516 / 0.801,0.516 / 0.504,0.025 / 0.352,0.478 / 0.661,0.516 / 0.504,0.503 / 0.031,0.493 / 0.494,0.013 / 0.000,0.516 / 0.686,0.518 / 0.024,0.526 / 0.521,0.526 / 0.510,1.000 / 0.510
Proxifier FGA,0.400 / 0.667,0.538 / 0.206,0.600 / 0.037,0.188 / 0.189,0.375 / 0.400,0.011 / 0.001,0.039 / 0.008,0.455 / 0.161,0.400 / 0.316,0.067 / 0.000,0.480 / 0.364,0.462 / 0.022,0.137 / 0.040,0.538 / 0.171,1.000 / 0.750
Proxifier PA,0.000 / 0.677,0.000 / 0.688,0.000 / 0.000,0.000 / 0.495,0.000 / 0.000,0.000 / 0.000,0.000 / 0.000,0.000 / 0.000,0.000 / 0.000,0.000 / 0.000,0.000 / 0.495,0.000 / 0.130,0.000 / 0.480,0.503 / 0.634,0.000 / 0.993
Proxifier FTA,0.000 / 0.417,0.000 / 0.176,0.000 / 0.000,0.000 / 0.151,0.000 / 0.000,0.000 / 0.000,0.000 / 0.000,0.000 / 0.000,0.000 / 0.000,0.000 / 0.000,0.000 / 0.242,0.000 / 0.022,0.000 / 0.011,0.000 / 0.229,0.000 / 0.917
